City,Household_Size,Seasonal_Index,Garden_Area,Avg_Rainfall,Household_Income,Previous_Day_Usage,City_Population,Daily_Water_Used,Avg_Water_Table,Suitability
Delhi,3,1.421,120.317,800,62600,178.979,19000000,181.3,640,Suitable
Lucknow,2,0.78,142.24,1000,107300,226.941,,226.783,800,Suitable
Bangalore,1,0.781,191.52,900,143800,253.5,12000000,258.233,720,Suitable
Pune,1,1.4,49.2,650,140000,149.8,7300000,155.1,,Suitable
Chennai,4,0.5,115.459,1400,112300,,11000000,184.3,1120,Suitable
Ahmedabad,1,1.38,194.2,600,108900,297.95,8000000,289.2,480,Suitable
Bangalore,6,1.288,83.58,900,124200,273.775,12000000,270.7,720,Suitable
Kolkata,2,0.561,130.688,1600,91900,116.246,14800000,114.096,1280,Suitable
Bangalore,4,1.2,11.704,900,55600,103.6,12000000,104.1,,Suitable
Pune,2,1.1,66.703,650,105800,185.95,7300000,191.8,520,Suitable
Kolkata,4,0.99,115.818,1600,147500,230.7,14800000,227.924,1280,Suitable
Ahmedabad,8,0.53,887.3777885,,596000,756.7837938,8000000,954.3779091,,Suitable
Pune,4,1.29,50.3,650,130100,111.95,7300000,118,520,Suitable
Mumbai,6,1.062,36.97,2200,118000,,20400000,229.1,1760,Suitable
Chennai,6,1.116,176.2,1400,85900,105.7,11000000,108.46,1120,Suitable
Ahmedabad,2,0.58,193.184,600,80600,287.2,8000000,286.8,480,
Mumbai,2,0.66,199.3,,98600,247.5,20400000,238.706,1760,Suitable
Lucknow,6,1.18,107.2,1000,100100,110.83,4500000,112.12,800,Suitable
Ahmedabad,4,0.8,175.071,600,37300,274.51,8000000,273.2,480,Suitable
Lucknow,2,0.7,34.66,1000,145900,268.4,4500000,269.58,800,Suitable
Kolkata,5,1.06,56.9,1600,37600,202.696,14800000,203.06,1280,Suitable
Mumbai,5,1.37,163.63,2200,30500,210.08,20400000,213,1760,Suitable
Chennai,3,1.368,192.69,1400,110100,190.36,11000000,192.56,1120,Suitable
Pune,5,1.49,98.82,650,120900,180.657,7300000,185.537,520,Suitable
Jaipur,4,,34.1,550,90900,123.871,3500000,128.9,440,Suitable
Bangalore,3,0.61,15,900,25100,208.145,12000000,209.003,720,Suitable
Delhi,2,0.78,97.7,800,137800,129.455,19000000,134.7,640,Suitable
Chennai,3,0.8,150.91,,45000,187.133,11000000,186.6,1120,Suitable
Mumbai,6,0.89,156.1,2200,94300,298.69,,306.5,1760,Suitable
Jaipur,4,1.4,22.9,550,102900,111.4,3500000,106,440,Suitable
Chennai,4,1.4,62.78,1400,,180.425,11000000,178.3,1120,Suitable
Mumbai,1,1,52.639,2200,42800,110.14,20400000,113,1760,Suitable
Hyderabad,5,1.08,196,,,284.9,10000000,283.46,680,Suitable
Hyderabad,5,0.8,198.2,850,47700,208.2,10000000,215.82,680,Suitable
Lucknow,3,0.709,164.89,1000,30800,109.72,4500000,106.236,800,Suitable
Chennai,6,1.098,178.8,1400,125300,114.2,11000000,127.67,1120,Suitable
Hyderabad,3,0.506,191.1,850,66800,271.58,10000000,277.46,680,Suitable
Mumbai,5,0.633,116.3,2200,20800,177.904,20400000,180.3,1760,Suitable
Lucknow,4,1.4,,1000,37500,137.7,4500000,137.12,800,Suitable
Mumbai,2,1.429,185.593,2200,105900,215.4,20400000,218.98,1760,
Lucknow,6,0.81,62.957,1000,77100,239.39,4500000,238.14,800,
Chennai,,0.9,176.924,1400,105500,222.641,11000000,,1120,Suitable
Jaipur,2,1.3,124.178,550,114400,202.3,3500000,211.77,440,Suitable
Pune,6,1,193.033,650,121000,160.969,7300000,161.495,520,Suitable
Ahmedabad,6,1.274,17.492,600,123600,214.06,8000000,210.13,480,Suitable
Jaipur,1,1.413,,550,135100,124.866,3500000,128.25,,Suitable
Kolkata,3,1.156,60.4,1600,96100,244.84,14800000,242.69,1280,Suitable
Mumbai,1,1,81.5,2200,102800,216.93,20400000,215.9,1760,Suitable
Kolkata,4,1.2,199,1600,109700,231.27,14800000,225.07,1280,Suitable
Jaipur,3,0.75,93.775,550,120300,186.978,3500000,181.777,440,Suitable
Lucknow,1,1.079,127.5,1000,99600,115.842,4500000,106.89,800,Suitable
Ahmedabad,2,1.4,31.452,600,102100,229.2,8000000,223.13,480,Suitable
Ahmedabad,1,0.9,12.42,600,119600,185.773,8000000,185.08,480,Suitable
Delhi,1,0.9,197.294,800,112400,298.13,19000000,297.2,640,Suitable
Ahmedabad,4,0.7,58.53,600,33700,204,8000000,201.611,480,Suitable
Pune,,0.5,115.38,,,100.4,7300000,103.2,520,Suitable
Ahmedabad,3,1.084,95.154,600,28300,286.055,8000000,280.1,480,Suitable
Jaipur,3,1.5,105.432,550,111000,251.63,3500000,247.46,440,Suitable
Delhi,6,1.493,86.358,800,139800,208.288,19000000,215.69,640,Suitable
Jaipur,1,0.642,184.98,550,145700,,,234.197,440,Suitable
Jaipur,3,,676.6304378,550,397600,584.490207,3500000,469.3607877,440,Suitable
Bangalore,4,1.4,,900,38400,169.02,12000000,161.691,720,Suitable
Delhi,2,0.565,90.8,800,87800,224.23,19000000,225.9,640,Suitable
Jaipur,4,1.36,78.5,550,113500,240.901,3500000,232.09,440,Suitable
Bangalore,2,1.28,78,900,65600,297.535,12000000,301.6,,Suitable
Bangalore,,1.3,160.19,900,111500,222.74,12000000,216.23,720,Suitable
Delhi,1,0.5,102.12,800,96900,270.269,19000000,267.7,640,Suitable
Kolkata,3,0.6,192.04,1600,92500,229.756,14800000,222.39,1280,Suitable
Lucknow,1,,111.89,1000,,282.082,4500000,279.228,800,Suitable
Pune,5,0.91,86.278,650,88100,236.1,7300000,231.12,520,Suitable
Lucknow,,0.817,104.309,1000,113800,242.568,4500000,245.7,800,Suitable
Ahmedabad,18,1.4,401.087714,600,854700,1276.456704,8000000,787.7288562,480,Suitable
Pune,4,0.869,189.674,650,108700,167.7,7300000,164.8,520,Suitable
Ahmedabad,1,1,40.3,600,137000,224.02,8000000,223.8,480,Suitable
Jaipur,6,0.67,195.441,550,101000,,3500000,257.9,440,Suitable
Mumbai,6,1.05,102.6,2200,126000,243.23,,235.9,1760,Suitable
Delhi,2,1.43,14.4,800,65900,155.63,19000000,149.474,640,Suitable
Pune,4,0.892,11.122,650,126700,140.64,7300000,143.354,520,Suitable
Pune,5,1.24,,650,35700,255.42,7300000,258.52,520,Suitable
Jaipur,5,0.64,155.6,550,35800,196.5,3500000,199.07,440,Suitable
Kolkata,4,0.76,12.666,1600,86800,223.308,14800000,225.6,1280,Suitable
Bangalore,6,1.296,,900,84900,275.461,12000000,269.81,720,Suitable
Jaipur,5,0.984,42.74,550,88400,100.37,3500000,99.4,440,
Hyderabad,4,0.88,167.7,850,109600,113.4,10000000,110.28,680,Suitable
Bangalore,4,1.385,154,900,49500,148.52,12000000,140.53,720,
Delhi,4,1.341,196.34,800,122200,,19000000,266.47,640,Suitable
Bangalore,3,1.4,44.3,900,39200,276.26,12000000,273.846,720,Suitable
Kolkata,6,1.019,120.66,1600,108100,252.819,14800000,259.7,1280,Suitable
Bangalore,1,1.3,86.09,900,101400,238.2,12000000,241.531,,Suitable
Delhi,6,0.9,86.72,800,149900,165.66,19000000,171.768,,Suitable
Kolkata,5,0.62,41.717,1600,141300,188.9,14800000,195.17,1280,Suitable
Lucknow,6,0.71,193.4,1000,63800,143.91,4500000,138.589,800,Suitable
Pune,5,1.2,,650,144400,208.294,7300000,209,520,Suitable
Pune,5,0.792,28.947,,143500,214,7300000,221.231,520,Suitable
Ahmedabad,4,0.56,161.59,600,149100,167.109,8000000,,480,Suitable
Lucknow,4,0.6,106.05,1000,95900,271.4,,270.4,800,Suitable
Lucknow,1,1.178,141.3,1000,28000,135.161,4500000,130.9,800,Suitable
Bangalore,3,0.566,161.5,,38200,145.602,12000000,145,720,Suitable
Pune,4,1.39,110.77,650,49200,275.2,7300000,264.4,520,Suitable
Delhi,,0.53,29.1,800,138500,155.5,,155.1,640,Suitable
Chennai,,1.289,,1400,41600,152.284,11000000,,1120,Suitable
Chennai,5,1.2,,1400,93000,184.5,11000000,175.2,1120,Suitable
Kolkata,4,0.7,158.307,1600,82700,280.1,14800000,273.665,1280,Suitable
Pune,5,,25.679,650,21100,274.9,7300000,274.926,520,Suitable
Pune,1,0.95,56.175,650,109000,231.35,7300000,230.513,520,Suitable
Chennai,1,0.617,96.7,1400,113100,194.3,11000000,187.9,1120,Suitable
Pune,3,1.258,159.03,650,138500,142.64,7300000,142.4,520,Suitable
Bangalore,1,1.29,60.27,900,131400,246.17,12000000,256.7,720,Suitable
Hyderabad,3,1.02,10.3,850,57600,124.022,10000000,126.5,680,
Mumbai,3,1.2,81.6,2200,130900,226,20400000,222.728,1760,Suitable
Lucknow,3,1.373,169.54,1000,45900,205.381,4500000,193,,Suitable
Ahmedabad,4,1.08,,600,97000,156.3,8000000,158.03,480,Suitable
Kolkata,3,1.4,39.712,,26600,107.96,14800000,,1280,
Hyderabad,2,1.36,148.459,850,36300,217.726,10000000,217.9,680,Suitable
Chennai,4,0.6,73.045,1400,126000,183.246,11000000,191.571,1120,Suitable
Lucknow,6,0.7,86.779,1000,25800,275.77,4500000,275.9,800,Suitable
Pune,6,1.38,190.012,650,58100,128,7300000,115.56,520,Suitable
Ahmedabad,6,,96.9,600,98200,160.66,8000000,165.48,480,Suitable
Pune,2,1.3,175.8,650,58100,189.6,7300000,179.89,520,Suitable
Delhi,2,1.234,147.789,800,84500,117.44,19000000,114.559,640,Suitable
Delhi,4,1.43,66.366,800,141500,219.14,19000000,229.8,640,Suitable
Ahmedabad,1,1.304,84.22,600,44100,290.2,8000000,295.75,480,
Ahmedabad,,1.11,43.507,600,127100,222.567,8000000,226.155,480,Suitable
Chennai,2,0.7,155.81,1400,41100,142.4,11000000,146,1120,Suitable
Ahmedabad,6,1.3,58.41,600,80500,,8000000,187.3,480,Suitable
Bangalore,3,0.79,71.741,900,106700,270.62,12000000,268.201,720,Suitable
Pune,3,0.965,73.964,650,71700,244.9,7300000,239.5,520,Suitable
Hyderabad,2,0.6,129.9,850,50700,226.4,10000000,224.2,680,Suitable
Jaipur,3,1.2,194.561,550,43600,186.09,3500000,195.007,440,Suitable
Ahmedabad,3,0.584,112.26,600,140100,240.684,8000000,242.194,480,Suitable
Kolkata,6,0.8,83.84,1600,126000,106.642,14800000,99.04,1280,Suitable
Delhi,5,0.53,92.293,800,141500,169.4,19000000,168.7,,Suitable
Bangalore,3,1.27,56.1,900,94200,117.46,12000000,111.51,720,Suitable
Lucknow,6,1.129,147.8,1000,87800,185.31,4500000,182.54,800,Suitable
Jaipur,1,0.85,145.92,550,50300,242.8,3500000,253.363,440,Suitable
Hyderabad,6,0.601,23,850,36800,174.9,10000000,174,680,Suitable
Jaipur,1,1.1,127.13,550,27500,190.83,3500000,189.601,440,Suitable
Ahmedabad,3,,141.592,600,117600,253.27,,,480,Suitable
Chennai,1,1.1,129.237,1400,,258.5,11000000,262.9,1120,Suitable
Delhi,3,1.139,179.58,800,110100,,19000000,214.5,640,Suitable
Delhi,6,0.84,32.1,800,147000,112.7,,110.323,640,Suitable
Lucknow,4,0.7,66.54,1000,37800,218.04,4500000,,800,
Chennai,5,0.9,26.94,1400,121300,236.722,11000000,233.52,1120,Suitable
Pune,2,0.7,56.4,650,38100,225.72,7300000,232.3,520,Suitable
Mumbai,5,1.412,97.2,2200,116400,180.39,20400000,178.581,1760,Suitable
Bangalore,3,0.7,153.169,900,110800,111.632,12000000,106.6,720,Suitable
Delhi,3,0.85,181.16,800,22000,255.4,19000000,260.4,640,
Kolkata,3,,154.15,1600,137100,180.392,14800000,173.01,1280,Suitable
Delhi,4,0.7,109.3,800,132400,261.76,19000000,257.9,640,Suitable
Jaipur,1,1.159,38.776,550,99800,157.09,3500000,155.145,440,Suitable
Delhi,4,1.3,90.1,,50000,236.38,19000000,233.659,640,Suitable
Delhi,6,1.161,125.41,800,81200,199.95,19000000,190.755,640,Suitable
Mumbai,3,1.457,109.3,,84600,203.91,20400000,212.56,1760,Suitable
Mumbai,,1.34,50.59,2200,128000,247.1,20400000,239.8,1760,Suitable
Hyderabad,5,0.9,95.84,850,117700,279.618,10000000,278.06,680,Suitable
Pune,1,,,650,100500,278.53,7300000,283.85,520,Suitable
Kolkata,2,0.9,182,1600,,111.548,14800000,109.646,,Suitable
Delhi,6,0.99,80.8,800,141700,269.4,19000000,273.51,640,Suitable
Delhi,5,1.22,118.57,800,57100,110.344,19000000,104.46,640,Suitable
Bangalore,6,1.213,115.73,900,29300,295.9,12000000,295.264,720,Suitable
Mumbai,3,0.7,179.6,2200,90800,185.9,20400000,,1760,Suitable
Kolkata,4,1.27,20.6,1600,140600,237.1,14800000,231.234,1280,Suitable
Lucknow,5,0.6,156.6,1000,38100,238.233,4500000,236.3,800,Suitable
Hyderabad,4,1.3,45.1,850,103300,157.787,10000000,162.74,680,Suitable
Pune,6,0.775,110.681,650,69800,146.726,7300000,144.123,520,Suitable
Chennai,4,1.175,40.7,1400,60600,266.729,11000000,263.08,1120,Suitable
Pune,2,0.99,181.458,650,23400,201,7300000,209.82,520,Suitable
Jaipur,1,0.751,164.1,550,71700,241.9,3500000,240.222,440,Suitable
Delhi,2,1.071,105.2,800,90500,294.186,19000000,288.43,640,Suitable
Hyderabad,1,0.706,138.432,850,46400,268.1,,271.6,680,Suitable
Jaipur,6,0.936,197.2,550,134700,281.2,3500000,282.67,,Suitable
Kolkata,5,1.378,120.1,1600,127300,263.507,14800000,266.322,1280,Suitable
Chennai,1,0.811,97.64,1400,75300,172.3,,173.92,1120,Suitable
Mumbai,,1.489,168.45,2200,,222.4,20400000,218.827,1760,Suitable
Hyderabad,3,0.6,33.6,850,94900,,,173.8,680,Suitable
Hyderabad,4,1,,850,57500,246.26,10000000,239.93,680,
Delhi,3,0.56,71.1,800,121300,128.01,19000000,127.5,640,Suitable
Ahmedabad,2,1.4,,600,122900,130.498,8000000,140.018,480,Suitable
Hyderabad,1,1,165.833,850,138900,242.2,10000000,248.4,680,Suitable
Bangalore,,0.91,139.3,900,76700,163.3,12000000,168.2,720,Suitable
Chennai,2,1.2,189.67,1400,134900,209.5,11000000,,1120,Suitable
Chennai,4,0.8,119.96,1400,43300,196.51,11000000,198.495,1120,Suitable
Bangalore,3,0.79,180,900,47600,191.53,,193.222,720,Suitable
Lucknow,3,1.2,124.6,1000,141600,146.11,4500000,146.869,800,Suitable
Bangalore,6,0.6,161.03,,106600,,12000000,276.9,,Suitable
Bangalore,4,,163,900,27100,,12000000,102.8,720,Suitable
Chennai,4,0.692,75.5,1400,43500,292.82,11000000,291.893,1120,Suitable
Pune,3,0.559,84.648,650,112600,208.8,7300000,218.883,520,Suitable
Chennai,3,,67.8,1400,126500,172.218,11000000,171.733,1120,Suitable
Ahmedabad,4,0.912,74.9,600,78500,203.998,8000000,197.2,480,Suitable
Delhi,6,1.477,197.1,800,146900,225.8,19000000,226.8,640,Suitable
Jaipur,1,,119.226,550,43900,131.91,3500000,126.6,440,Suitable
Pune,1,1,193.6,650,118400,296.182,7300000,303.998,520,Suitable
Mumbai,1,0.62,173,2200,117900,196.344,20400000,192.95,1760,Suitable
Jaipur,1,1.02,128.5,550,42700,154.6,3500000,155.79,440,Suitable
Delhi,,0.7,69.46,800,35900,152.182,19000000,147,640,Suitable
Ahmedabad,3,1.09,193.1,600,136900,261.7,8000000,263.7,480,Suitable
Ahmedabad,1,,140.2,600,38600,175,8000000,175.9,,Suitable
Mumbai,6,1.4,171.892,2200,142300,163.45,20400000,161.59,1760,Suitable
Pune,2,0.9,12.693,,142500,126.398,7300000,129.276,520,Suitable
Lucknow,2,0.9,126.92,1000,64900,161.03,4500000,163.645,800,Suitable
Bangalore,2,1.14,121.182,900,103200,273.682,12000000,277.169,720,Suitable
Pune,4,0.5,67.6,650,66600,141.92,7300000,136.843,520,Suitable
Lucknow,3,0.983,53.29,1000,90900,241.854,4500000,,800,Suitable
Ahmedabad,4,1.36,54.6,600,30800,142.2,8000000,147.5,480,Suitable
Chennai,,1.5,37.35,1400,34500,130.491,11000000,121.683,1120,Suitable
Delhi,3,1.4,139.1,800,140000,101.16,19000000,106.94,640,Suitable
Mumbai,4,0.8,48.347,2200,131300,262.714,20400000,263.45,1760,Suitable
Delhi,1,1.263,187.84,800,31300,232.172,19000000,232.991,640,Suitable
Kolkata,6,0.92,140.97,1600,134300,217.4,,221.17,1280,Suitable
Kolkata,2,0.813,91.436,1600,37300,278,14800000,285.63,1280,Suitable
Pune,5,1.2,70.33,,141000,226.973,7300000,225.3,520,Suitable
Ahmedabad,4,1.208,105.6,600,28500,271.71,8000000,265.413,480,Suitable
Ahmedabad,2,1.44,105.613,600,107400,200.7,8000000,198.02,480,Suitable
Bangalore,2,1.074,113.3,900,59800,242,12000000,241.105,,Suitable
Bangalore,1,1.259,80.757,900,71800,174.923,,173.55,720,Suitable
Bangalore,3,0.975,43.11,900,143900,205.6,12000000,202,720,Suitable
Chennai,5,0.8,199.62,1400,99300,264.4,11000000,261.8,1120,Suitable
Jaipur,6,1,10.395,550,143100,260.856,,249,440,Suitable
Hyderabad,2,0.99,118.5,850,93100,164.2,10000000,159.765,680,Suitable
Jaipur,1,,195.5,550,54700,152.09,3500000,152.3,440,Suitable
Delhi,2,0.8,169.464,800,49700,154.5,19000000,160.5,640,
Jaipur,5,1.13,90.13,550,57600,144.5,3500000,149.49,440,Suitable
Chennai,2,1.248,47.949,1400,88700,186.1,11000000,189,1120,Suitable
Delhi,6,,21.285,800,21100,177.1,19000000,172.7,640,Suitable
Jaipur,1,0.589,147,550,43200,171.58,3500000,178,440,Suitable
Chennai,1,0.767,108.7,1400,39600,210.032,11000000,199.15,1120,Suitable
Hyderabad,4,0.57,,850,43400,167.52,10000000,173.096,680,Suitable
Jaipur,6,0.6,148.629,550,100700,268.76,3500000,264,440,Suitable
Chennai,3,,85.419,1400,54200,150.29,11000000,148.87,1120,Suitable
Bangalore,3,1.238,26.11,900,34500,178.846,12000000,182.2,720,Suitable
Ahmedabad,1,0.7,128.9,600,39000,255.47,8000000,251.76,480,Suitable
Bangalore,1,0.64,180.4,900,32600,244.19,12000000,243.356,720,Suitable
Ahmedabad,1,1.2,174.6,600,80300,242.806,8000000,244.07,480,Suitable
Mumbai,2,1.042,118.489,2200,70700,116.576,20400000,116.838,1760,Suitable
Mumbai,1,,185.03,2200,54900,263.69,20400000,263.1,1760,Suitable
Mumbai,5,0.627,174.147,2200,121800,132.324,20400000,127.2,1760,Suitable
Hyderabad,1,1.399,167.87,850,38700,264.39,10000000,264.833,680,
Bangalore,6,1.3,107.92,900,82400,278.46,12000000,280.2,720,Suitable
Ahmedabad,4,0.58,72.685,600,93800,129.7,8000000,134.55,480,Suitable
Chennai,4,1.2,107.1,1400,24600,182.421,11000000,178.7,1120,
Delhi,1,0.849,184.7,800,112900,246.4,19000000,250.1,640,Suitable
Chennai,1,1,177.717,1400,107000,236.5,11000000,235,1120,Suitable
Delhi,1,1.36,,800,36200,132.67,19000000,138.72,640,Suitable
Kolkata,6,0.53,182.4,1600,36100,175.201,14800000,176.6,1280,Suitable
Chennai,4,0.99,161.62,1400,21700,154.539,11000000,154.1,1120,Suitable
Jaipur,4,0.723,194.5,550,110600,109.546,3500000,111.768,440,Suitable
Jaipur,3,1.142,112.83,550,110100,266.1,3500000,266.73,440,Suitable
Pune,2,1,78.168,650,56300,239.607,7300000,232.096,520,Suitable
Bangalore,5,0.509,77.8,900,73500,119.59,12000000,110,720,Suitable
Delhi,3,1.2,52.9,800,116300,111.2,19000000,114.202,640,Suitable
Delhi,1,0.52,100.52,800,88300,130.91,19000000,137.18,,Suitable
Bangalore,4,0.8,75,900,86200,114.6,,117.155,720,Suitable
Hyderabad,3,1.15,100.034,850,,128.907,10000000,135.7,680,Suitable
Pune,,1,89.1,650,44500,209.99,7300000,204.423,,Suitable
Hyderabad,5,1.46,39.84,850,48800,139.5,10000000,138.8,680,Suitable
Hyderabad,2,1,154.87,850,139700,178.6,10000000,182.45,680,Suitable
Hyderabad,5,0.8,,850,109900,128.5,10000000,122.625,680,Suitable
Bangalore,,1.3,192.7,900,85200,248.3,12000000,252.6,720,Suitable
Hyderabad,5,1.156,48.9,850,69700,188.6,10000000,193.6,680,Suitable
Jaipur,4,0.647,106.922,550,146600,179.4,3500000,181.8,440,Suitable
Mumbai,4,1.1,13.245,2200,119900,141.5,20400000,141.485,1760,Suitable
Kolkata,6,0.591,53.012,1600,48200,152.4,14800000,136.96,1280,
Delhi,2,1.104,88.182,800,67100,237.42,19000000,242.24,640,Suitable
Delhi,3,0.6,183.04,800,38400,227.3,19000000,229.95,640,
Kolkata,4,1,43.47,1600,48200,187.694,14800000,197.6,1280,Suitable
Bangalore,,1.08,52.6,900,49600,149.3,12000000,158.8,720,Suitable
Chennai,1,1.1,107.16,1400,139000,228.16,11000000,,1120,Suitable
Bangalore,,,96.9,900,37700,166.6,12000000,162.461,720,Suitable
Delhi,1,0.726,89.054,800,91000,184,19000000,182.986,640,Suitable
Delhi,6,1.019,21.2,800,139200,170.4,19000000,168.1,640,Suitable
Kolkata,4,0.8,58.29,1600,69300,227.22,14800000,228.977,1280,Suitable
Hyderabad,3,,109.264,,21300,237.86,10000000,234.6,680,Suitable
Bangalore,1,0.66,18.4,900,111800,137.56,12000000,132.82,720,Suitable
Ahmedabad,5,0.71,,600,89200,175.5,8000000,174.911,480,Suitable
Kolkata,6,1.34,171.19,1600,132100,103.353,14800000,105.371,1280,Suitable
Jaipur,2,,73.314,550,61000,136.59,3500000,134.8,440,Suitable
Delhi,2,0.829,14.732,800,94800,165.04,19000000,163.534,640,Suitable
Kolkata,6,1.31,53.932,1600,124400,167.58,14800000,168.79,1280,Suitable
Bangalore,1,0.93,16.92,900,130200,158.06,12000000,162.708,720,Suitable
Delhi,6,1.1,92.475,800,139000,119.364,19000000,120.32,640,Suitable
Chennai,5,1.127,83.461,1400,68900,256.3,11000000,260.533,1120,Suitable
Kolkata,5,,14.81,1600,129700,139,14800000,134.47,1280,Suitable
Pune,3,0.964,69.04,650,107200,,7300000,190.7,520,Suitable
Delhi,3,1.1,175.31,800,131900,208.07,19000000,212.04,640,
Bangalore,1,1.1,,900,99900,277.78,12000000,271.33,720,Suitable
Mumbai,3,1.262,100.975,2200,42000,234.552,20400000,243.3,1760,Suitable
Ahmedabad,1,1.067,142.906,600,63400,,8000000,218.515,480,Suitable
Lucknow,4,0.78,136.66,1000,120000,242.8,4500000,241.689,800,Suitable
Hyderabad,5,0.5,59.7,850,139800,,10000000,237.3,680,Suitable
Lucknow,4,1.028,79.298,1000,117800,124.018,4500000,117.8,800,Suitable
Bangalore,2,0.6,109.32,900,61500,108.258,12000000,108,720,Suitable
Jaipur,1,0.74,195.75,,102900,226.9,3500000,221.629,440,Suitable
Jaipur,2,0.7,65.2,550,97500,180.224,3500000,182.435,440,Suitable
Mumbai,5,1.02,108.817,2200,60000,266.379,20400000,268.049,1760,Suitable
Hyderabad,3,1.1,136.5,850,53900,245.4,10000000,240.26,680,Suitable
Pune,1,0.878,165.63,650,82700,,7300000,215,520,Suitable
Mumbai,1,1.285,46.3,2200,46500,294.52,20400000,296.79,1760,Suitable
Lucknow,6,1.492,43.171,,102800,201.67,4500000,209.06,800,Suitable
Mumbai,5,1.04,44,2200,141800,173.82,20400000,164.364,1760,Suitable
Lucknow,3,0.668,123.8,1000,47600,246.43,4500000,241.628,800,
Delhi,3,1.3,195.39,800,117500,253,19000000,259.283,640,Suitable
Jaipur,1,1.49,107,550,123800,110.6,3500000,107.481,440,Suitable
Delhi,5,,,800,127500,228.5,19000000,230.4,640,Suitable
Ahmedabad,3,1.2,195.9,600,29500,228.9,8000000,232.1,480,Suitable
Hyderabad,2,0.6,54.3,850,69900,143.892,10000000,142.8,680,Suitable
Pune,1,1.3,119.55,650,58700,153.59,7300000,151.033,520,Suitable
Lucknow,3,0.5,49.198,1000,99400,278.8,4500000,286.9,,Suitable
Pune,6,1.094,192.524,650,118900,213.01,7300000,213.66,520,
Lucknow,3,0.6,199.29,1000,82800,242.3,4500000,237.912,800,Suitable
Bangalore,1,1,102.2,900,,169.723,12000000,173.7,720,Suitable
Mumbai,5,1.12,82.949,2200,36600,278.173,20400000,279.482,1760,Suitable
Ahmedabad,4,1.1,109.9,600,,265,8000000,249.63,,Suitable
Jaipur,3,0.7,93.3,550,134500,169.8,3500000,172.259,440,Suitable
Lucknow,1,1.4,132.21,1000,20800,141.43,4500000,147.8,800,Suitable
Pune,6,1.26,144.3,650,59900,236.4,7300000,240.89,520,Suitable
Ahmedabad,2,1.31,19.1,600,29400,134.996,8000000,138.07,480,Suitable
Chennai,3,0.98,,1400,43400,270.15,,267.141,1120,Suitable
Chennai,5,0.88,44.417,,66800,269.81,11000000,259.732,1120,Suitable
Delhi,2,0.6,80.596,800,141400,211.5,19000000,212.97,640,Suitable
Jaipur,3,1.1,13.38,550,57600,121.77,,119.11,440,Suitable
Bangalore,5,0.693,33.55,900,58800,179.56,12000000,182.5,720,Suitable
Pune,5,1.4,141.3,650,140500,155.08,7300000,156.6,520,Suitable
Mumbai,2,0.857,136.09,2200,89400,165.924,20400000,167.239,1760,Suitable
Mumbai,5,1.47,155.77,2200,27800,,20400000,289.427,1760,Suitable
Pune,4,0.9,139.79,650,56900,144.35,7300000,151.7,520,Suitable
Hyderabad,5,1.2,97,850,118700,213.34,10000000,217.284,680,Suitable
Bangalore,6,1.17,66.45,900,31100,113.6,12000000,111.2,720,Suitable
Ahmedabad,8,1.02,439.4920157,600,367500,328.6544784,8000000,350.2599001,,Suitable
Lucknow,1,1.2,129.14,1000,140700,181.6,4500000,181.66,800,Suitable
